150,39673908#5_0,1000000_17_1__108
150,39673908#5_0,1000000_14_1__72
150,39673908#5_0,1000000_22_2__20
150,39673908#5_0,1000000_17_1__45
150,39673908#5_0,1000000_19_1__41
150,39673908#5_0,1000000_129_1__63
150,39673908#5_0,1000000_17_1__55
150,39673908#5_0,1000000_50_1__40
150,39673908#5_0,1000000_50_1__2
150,39673908#5_0,1000000_81_1__37
150,39673908#5_0,1000000_23_2__14
150,39673908#5_0,1000000_17_1__18
150,39673908#5_0,1000000_107_1__14
150,39673908#5_0,1000000_1000005_1__33
150,39673908#5_0,1000000_81_1__0
150,39673908#5_0,1000000_50_1__42
150,39673908#5_0,1000000_14_1__66
150,39673908#5_0,1000000_107_1__16
150,39673908#5_0,1000000_22_1__22
150,39673908#5_0,1000000_17_1__22
150,39673908#5_0,1000000_20_1__19
150,39673908#5_0,1000000_23_1__84
150,39673908#5_0,1000000_17_1__58
150,39673908#5_1,
150,41277870#1_0,1000009_14_1__10
150,41277870#1_1,1000009_19_2__35
150,41277870#1_1,1000009_91_2__43
150,41277870#1_1,1000009_129_1__0
150,41277870#1_1,1000009_19_2__36
150,41277870#1_1,1000009_19_2__56
150,41277870#1_1,1000009_23_2__17
150,43469298#2_0,105_1000009_2__4
150,43469298#2_0,82_1000008_1__1
150,43469298#2_0,81_1000000_1__6
150,43469298#2_0,1000005_1000009_1__0
150,43469298#5_0,1000021_1000009_1__17
150,43469298#5_0,82_1000000_1__36
150,43469298#5_0,81_15_1__0
150,43469298#5_0,1000021_1000009_1__7
200,-231109180#2_0,82_1000013_1__27
200,-231109180#2_0,82_1000014_1__5
200,-23185864#7_1,14_1000009_1__1
200,-236093055#0_0,1000019_1000007_1__78
200,132006073#0_2,
200,135982505#3_0,1000014_107_1__4
200,135982505#3_0,1000020_14_1__6
200,135982505#3_0,20_1000005_1__23
200,135982505#3_0,20_1000016_1__1
200,135982505#3_0,1000003_107_1__13
200,135982505#3_0,20_1000016_1__12
200,151824728#2_0,18_1000011_1__63
200,151824728#2_0,15_1000011_1__30
200,151824728#2_0,18_1000011_1__40
200,151824728#2_0,106_1000011_1__11
200,23210836#3_0,1000014_1000007_1__27
200,23210836#3_0,20_1000008_1__12
200,23210836#3_1,1000019_1000007_1__48
200,23213604#0_0,1000019_23_1__22
200,23213604#0_0,1000019_14_1__6
200,23213604#0_0,1000019_19_1__3
200,23213604#0_0,1000019_91_1__137
200,23213604#0_0,1000019_19_1__30
200,23213604#0_0,1000019_91_1__145
200,23213604#0_0,1000019_19_1__29
200,23213604#0_0,1000019_19_1__62
200,23275345#10_0,1000019_106_1__27
200,23275345#10_0,1000019_107_1__15
200,23275345#11_0,1000019_50_1__11
200,23275345#11_0,1000019_15_1__20
200,23275345#9_0,1000019_15_1__35
200,23275345#9_0,1000019_106_1__15
200,23288787#3_0,1000019_129_1__3
200,23288787#3_0,19_1000000_1__19
200,23288787#3_0,19_1000000_1__7
200,23288787#3_0,20_1000000_1__42
200,23288945#5_0,77_1000007_2__11
200,23288945#5_1,
200,292179033#5_0,16_1000004_1__7
200,292179033#5_0,16_1000013_1__223
200,292179033#5_0,77_1000013_1__41
200,292179033#5_0,15_1000004_1__0
200,292179033#5_1,
200,292179033#5_2,77_1000008_2__3
200,32942493#2_0,23_1000002_1__8
200,32942493#2_0,23_1000002_2__14
200,32942493#2_0,22_1000008_1__76
200,32942493#2_0,23_1000002_2__16
200,32942493#2_0,22_1000008_1__81
200,32942493#2_0,16_19_2__0
200,32942493#2_0,16_1000000_1__45
200,32942493#2_0,16_1000009_1__119
200,32942493#2_0,22_1000009_1__21
200,35016111#3_0,1000019_19_1__149
200,35016111#3_1,
200,39673908#5_0,1000000_81_1__24
200,39673908#5_0,1000000_91_1__48
200,39673908#5_0,1000000_129_1__3
200,39673908#5_0,1000000_20_1__36
200,39673908#5_0,1000000_23_2__18
200,39673908#5_0,1000000_129_1__39
200,39673908#5_0,1000000_106_1__7
200,39673908#5_0,1000000_22_1__36
200,39673908#5_0,1000000_50_1__32
200,39673908#5_0,1000000_17_1__25
200,39673908#5_0,1000000_120_1__41
200,39673908#5_0,1000000_107_1__19
200,39673908#5_0,1000000_105_1__7
200,39673908#5_0,1000000_23_1__78
200,39673908#5_0,1000000_17_1__7
200,39673908#5_0,1000000_17_1__108
200,39673908#5_0,1000000_14_1__72
200,39673908#5_0,1000000_22_2__20
200,39673908#5_0,1000000_17_1__45
200,39673908#5_0,1000000_19_1__41
200,39673908#5_0,1000000_17_1__55
200,39673908#5_0,1000000_50_1__40
200,39673908#5_0,1000000_50_1__2
200,39673908#5_0,1000000_81_1__37
200,39673908#5_0,1000000_23_2__14
200,39673908#5_1,1000000_91_1__25
200,41277870#1_0,1000009_21_1__5
200,41277870#1_0,1000009_22_1__22
200,41277870#1_0,1000009_22_2__5
200,41277870#1_0,1000009_22_1__16
200,41277870#1_1,1000009_91_2__32
200,41277870#1_1,1000009_19_2__86
200,41277870#1_1,1000009_91_2__5
200,41277870#1_1,1000009_19_2__109
200,41277870#1_1,1000009_1000010_1__2
